time	room_temp	room_humid	temp	humid	press	weather	wat	steps	cal	behavior_id
0	5	0.7	2	0.8	1017	cloudy				2
1	5	0.7	2	0.8	1017	cloudy				2
2	5	0.7	2	0.8	1017	cloudy				2
3	5	0.7	2	0.8	1017	cloudy				2
4	5	0.7	2	0.8	1017	cloudy				2
5	5	0.7	2	0.8	1017	cloudy				2
6	5	0.7	2	0.8	1017	cloudy				2
7	5	0.7	2	0.8	1017	cloudy				2
8	5	0.7	2	0.8	1017	cloudy				2
9	5	0.7	2	0.8	1017	cloudy				2
10	5	0.7	2	0.8	1017	cloudy				2
11	5	0.7	2	0.8	1017	cloudy				2
12	5	0.7	2	0.8	1017	cloudy				2
13	5	0.7	2	0.8	1017	cloudy				2
14	5	0.7	2	0.8	1017	cloudy				2
15	5	0.7	2	0.8	1017	cloudy				2
16	5	0.7	2	0.8	1017	cloudy				2
17	5	0.7	2	0.8	1017	cloudy				2
18	5	0.7	2	0.8	1017	cloudy				2
19	5	0.7	2	0.8	1017	cloudy				2
20	5	0.7	2	0.8	1017	cloudy				2
21	5	0.7	2	0.8	1017	cloudy				2
22	5	0.7	2	0.8	1017	cloudy				2
23	5	0.7	2	0.8	1017	cloudy				2
24	5	0.7	2	0.8	1017	cloudy				2
25	5	0.7	2	0.8	1017	cloudy				2
26	5	0.7	2	0.8	1017	cloudy				2
27	5	0.7	2	0.8	1017	cloudy				2
28	5	0.7	2	0.8	1017	cloudy				2
29	5	0.7	2	0.8	1017	cloudy				2
30	5	0.7	2	0.8	1017	cloudy				2
31	5	0.7	2	0.8	1017	cloudy				2
32	5	0.7	2	0.8	1017	cloudy				2
33	5	0.7	2	0.8	1017	cloudy				2
34	5	0.7	2	0.8	1017	cloudy				2
35	5	0.7	2	0.8	1017	cloudy				2
36	5	0.7	2	0.8	1017	cloudy				2
37	5	0.7	2	0.8	1017	cloudy				2
38	5	0.7	2	0.8	1017	cloudy				2
39	5	0.7	2	0.8	1017	cloudy				2
40	5	0.7	2	0.8	1017	cloudy				2
41	5	0.7	2	0.8	1017	cloudy				2
42	5	0.7	2	0.8	1017	cloudy				2
43	5	0.7	2	0.8	1017	cloudy				2
44	5	0.7	2	0.8	1017	cloudy				2
45	5	0.7	2	0.8	1017	cloudy				2
46	5	0.7	2	0.8	1017	cloudy				2
47	5	0.7	2	0.8	1017	cloudy				2
48	5	0.7	2	0.8	1017	cloudy				2
49	5	0.7	2	0.8	1017	cloudy				2
50	5	0.7	2	0.8	1017	cloudy				2
51	5	0.7	2	0.8	1017	cloudy				2
52	5	0.7	2	0.8	1017	cloudy				2
53	5	0.7	2	0.8	1017	cloudy				2
54	5	0.7	2	0.8	1017	cloudy				2
55	5	0.7	2	0.8	1017	cloudy				2
56	5	0.7	2	0.8	1017	cloudy				2
57	5	0.7	2	0.8	1017	cloudy				2
